	index	max_depth	max_features	mean_score	min_samples_leaf	min_samples_split	n_estimators	run_time
0	880.0	15.0	0.5	0.779	40.0	100.0	400.0	160.106
1	1406.0	30.0	0.5	0.7809999999999999	40.0	2.0	800.0	292.39799999999997
2	1472.0	30.0	0.75	0.82	10.0	40.0	800.0	352.25300000000004
3	1784.0	50.0	0.1	0.524	100.0	2.0	800.0	85.23200000000001
4	2660.0	100.0	0.9	0.813	20.0	40.0	800.0	1210.744
5	175.0	5.0	0.1	0.498	100.0	40.0	400.0	38.431999999999995
6	1137.0	30.0	0.01	0.203	40.0	5.0	200.0	8.078
7	1456.0	30.0	0.75	0.8140000000000001	1.0	100.0	400.0	241.332
8	2462.0	100.0	0.5	0.815	10.0	40.0	800.0	350.82800000000003
9	1271.0	30.0	0.25	0.816	1.0	20.0	800.0	317.9
10	2655.0	100.0	0.9	0.812	20.0	20.0	200.0	287.608
11	2979.0	150.0	0.5	0.8290000000000001	1.0	20.0	200.0	121.03200000000001
12	504.0	5.0	0.9	0.782	40.0	2.0	200.0	121.385
13	642.0	15.0	0.1	0.726	1.0	40.0	200.0	21.340999999999998
14	2897.0	150.0	0.25	0.778	1.0	100.0	800.0	202.983
15	2247.0	100.0	0.01	0.11699999999999999	100.0	100.0	200.0	3.585
16	1421.0	30.0	0.5	0.778	40.0	100.0	800.0	273.57599999999996
17	1312.0	30.0	0.25	0.753	20.0	100.0	400.0	74.875
18	2270.0	100.0	0.1	0.713	10.0	2.0	800.0	121.322
19	634.0	15.0	0.1	0.7559999999999999	1.0	5.0	400.0	57.34
20	1153.0	30.0	0.01	0.113	100.0	2.0	400.0	6.848
21	1635.0	50.0	0.01	0.41	1.0	100.0	200.0	9.921
22	1562.0	30.0	0.9	0.821	10.0	40.0	800.0	578.033
23	3105.0	150.0	0.75	0.8109999999999999	20.0	20.0	200.0	106.38600000000001
24	2096.0	50.0	0.9	0.8240000000000001	10.0	10.0	800.0	736.5160000000001
25	677.0	15.0	0.1	0.665	20.0	20.0	800.0	91.9
26	367.0	5.0	0.75	0.7859999999999999	1.0	10.0	400.0	169.292
27	1861.0	50.0	0.25	0.7340000000000001	40.0	10.0	400.0	91.291
28	1984.0	50.0	0.75	0.835	1.0	5.0	400.0	437.668
29	2968.0	150.0	0.25	0.672	100.0	100.0	400.0	56.466
30	679.0	15.0	0.1	0.667	20.0	40.0	400.0	36.125
31	1357.0	30.0	0.5	0.8320000000000001	1.0	10.0	400.0	255.463
32	620.0	15.0	0.01	0.11599999999999999	100.0	10.0	800.0	12.731
33	2822.0	150.0	0.1	0.7020000000000001	10.0	40.0	800.0	115.613
34	2267.0	100.0	0.1	0.691	1.0	100.0	800.0	92.811
35	2014.0	50.0	0.75	0.809	10.0	100.0	400.0	207.605
36	312.0	5.0	0.5	0.772	20.0	10.0	200.0	91.465
37	1145.0	30.0	0.01	0.201	40.0	20.0	800.0	20.885
38	1792.0	50.0	0.1	0.52	100.0	20.0	400.0	36.692
39	990.0	15.0	0.9	0.828	1.0	2.0	200.0	209.94
40	3072.0	150.0	0.75	0.8270000000000001	1.0	40.0	200.0	146.93200000000002
41	3095.0	150.0	0.75	0.81	10.0	100.0	800.0	1346.3139999999999
42	1284.0	30.0	0.25	0.795	10.0	10.0	200.0	88.586
43	3049.0	150.0	0.5	0.7440000000000001	100.0	10.0	400.0	214.063
44	104.0	5.0	0.1	0.541	1.0	40.0	800.0	85.29700000000001
45	2032.0	50.0	0.75	0.802	20.0	100.0	400.0	290.92400000000004
46	1829.0	50.0	0.25	0.795	10.0	20.0	800.0	242.49099999999999
47	501.0	5.0	0.9	0.7829999999999999	20.0	100.0	200.0	132.116
48	847.0	15.0	0.5	0.8029999999999999	20.0	2.0	400.0	160.74200000000002
49	994.0	15.0	0.9	0.828	1.0	5.0	400.0	411.355
50	2241.0	100.0	0.01	0.102	100.0	20.0	200.0	3.889
51	1876.0	50.0	0.25	0.6729999999999999	100.0	5.0	400.0	106.27600000000001
52	1855.0	50.0	0.25	0.735	40.0	2.0	400.0	76.667
53	676.0	15.0	0.1	0.665	20.0	20.0	400.0	36.971
54	318.0	5.0	0.5	0.7709999999999999	20.0	40.0	200.0	159.615
55	1080.0	30.0	0.01	0.467	1.0	2.0	200.0	17.884
56	2461.0	100.0	0.5	0.815	10.0	40.0	400.0	178.50900000000001
57	120.0	5.0	0.1	0.534	10.0	40.0	200.0	31.018
58	3093.0	150.0	0.75	0.809	10.0	100.0	200.0	327.383
59	1518.0	30.0	0.75	0.762	100.0	10.0	200.0	118.10700000000001
60	1296.0	30.0	0.25	0.77	20.0	2.0	200.0	39.961
61	2030.0	50.0	0.75	0.8109999999999999	20.0	40.0	800.0	391.195
62	3139.0	150.0	0.75	0.764	100.0	10.0	400.0	153.954
63	2110.0	50.0	0.9	0.813	20.0	5.0	400.0	252.75400000000002
64	2063.0	50.0	0.75	0.763	100.0	20.0	800.0	331.827
65	1537.0	30.0	0.9	0.8340000000000001	1.0	10.0	400.0	442.055
66	2479.0	100.0	0.5	0.8029999999999999	20.0	40.0	400.0	404.3
67	145.0	5.0	0.1	0.527	40.0	2.0	400.0	57.566
68	2338.0	100.0	0.1	0.522	100.0	100.0	400.0	37.687
69	3202.0	150.0	0.9	0.804	20.0	100.0	400.0	232.847
70	913.0	15.0	0.75	0.823	1.0	40.0	400.0	247.808
71	940.0	15.0	0.75	0.81	20.0	5.0	400.0	225.81400000000002
72	3006.0	150.0	0.5	0.8029999999999999	20.0	2.0	200.0	83.883
73	1539.0	30.0	0.9	0.8320000000000001	1.0	20.0	200.0	263.051
74	2473.0	100.0	0.5	0.8029999999999999	20.0	10.0	400.0	165.139
75	112.0	5.0	0.1	0.541	10.0	5.0	400.0	99.77799999999999
76	2226.0	100.0	0.01	0.204	40.0	40.0	200.0	3.677
77	1708.0	50.0	0.01	0.11	100.0	100.0	400.0	7.229
78	415.0	5.0	0.75	0.779	40.0	2.0	400.0	317.582
79	1666.0	50.0	0.01	0.271	20.0	20.0	400.0	12.972000000000001
80	1270.0	30.0	0.25	0.816	1.0	20.0	400.0	136.755
81	1304.0	30.0	0.25	0.77	20.0	10.0	800.0	197.66
82	2003.0	50.0	0.75	0.8240000000000001	10.0	5.0	800.0	497.689
83	1051.0	15.0	0.9	0.797	40.0	10.0	400.0	345.51
84	3113.0	150.0	0.75	0.802	20.0	100.0	800.0	404.298
85	3046.0	150.0	0.5	0.745	100.0	5.0	400.0	119.382
86	2368.0	100.0	0.25	0.7959999999999999	10.0	20.0	400.0	101.331
87	1530.0	30.0	0.9	0.8340000000000001	1.0	2.0	200.0	270.61400000000003
88	2076.0	50.0	0.9	0.8340000000000001	1.0	10.0	200.0	223.567
89	108.0	5.0	0.1	0.537	10.0	2.0	200.0	31.23
90	2113.0	50.0	0.9	0.813	20.0	10.0	400.0	417.921
91	999.0	15.0	0.9	0.8270000000000001	1.0	20.0	200.0	170.146
92	601.0	15.0	0.01	0.20199999999999999	40.0	10.0	400.0	8.044
93	2087.0	50.0	0.9	0.816	1.0	100.0	800.0	518.438
94	3062.0	150.0	0.75	0.835	1.0	2.0	800.0	908.4630000000001
95	2961.0	150.0	0.25	0.667	100.0	20.0	200.0	43.635
96	1847.0	50.0	0.25	0.77	20.0	20.0	800.0	194.601
97	2106.0	50.0	0.9	0.813	20.0	2.0	200.0	131.625
98	362.0	5.0	0.75	0.7859999999999999	1.0	2.0	800.0	481.14099999999996
99	1786.0	50.0	0.1	0.52	100.0	5.0	400.0	34.196
100	1449.0	30.0	0.75	0.8320000000000001	1.0	20.0	200.0	159.135
101	2484.0	100.0	0.5	0.7809999999999999	40.0	2.0	200.0	74.03399999999999
102	505.0	5.0	0.9	0.782	40.0	2.0	400.0	350.269
103	1398.0	30.0	0.5	0.802	20.0	40.0	200.0	57.934
104	2439.0	100.0	0.5	0.8290000000000001	1.0	20.0	200.0	119.325
105	1353.0	30.0	0.5	0.833	1.0	5.0	200.0	138.14
106	2181.0	100.0	0.01	0.332	10.0	5.0	200.0	13.865
107	2395.0	100.0	0.25	0.7340000000000001	40.0	2.0	400.0	184.99900000000002
108	103.0	5.0	0.1	0.545	1.0	40.0	400.0	41.398999999999994
109	2225.0	100.0	0.01	0.203	40.0	20.0	800.0	16.486
110	854.0	15.0	0.5	0.802	20.0	10.0	800.0	304.452
111	1968.0	50.0	0.5	0.743	100.0	10.0	200.0	57.838
112	1596.0	30.0	0.9	0.7979999999999999	40.0	40.0	200.0	195.41400000000002
113	1106.0	30.0	0.01	0.331	10.0	10.0	800.0	31.041999999999998
114	137.0	5.0	0.1	0.535	20.0	20.0	800.0	102.43299999999999
115	394.0	5.0	0.75	0.782	10.0	100.0	400.0	233.268
116	368.0	5.0	0.75	0.7859999999999999	1.0	10.0	800.0	516.545
117	1944.0	50.0	0.5	0.7809999999999999	40.0	2.0	200.0	68.947
118	2388.0	100.0	0.25	0.769	20.0	40.0	200.0	61.258
119	3054.0	150.0	0.5	0.7390000000000001	100.0	40.0	200.0	109.374
120	1240.0	30.0	0.1	0.609	40.0	100.0	400.0	90.087
121	2938.0	150.0	0.25	0.733	40.0	5.0	400.0	120.339
122	1513.0	30.0	0.75	0.762	100.0	2.0	400.0	164.512
123	2097.0	50.0	0.9	0.8240000000000001	10.0	20.0	200.0	171.12099999999998
124	1324.0	30.0	0.25	0.731	40.0	20.0	400.0	88.74600000000001
125	3003.0	150.0	0.5	0.8	10.0	100.0	200.0	61.49100000000001
126	950.0	15.0	0.75	0.81	20.0	40.0	800.0	418.32
127	761.0	15.0	0.25	0.77	20.0	5.0	800.0	192.43400000000003
128	1443.0	30.0	0.75	0.8340000000000001	1.0	5.0	200.0	189.61599999999999
129	1462.0	30.0	0.75	0.8240000000000001	10.0	5.0	400.0	747.997
130	2169.0	100.0	0.01	0.483	1.0	20.0	200.0	12.751
131	746.0	15.0	0.25	0.794	10.0	10.0	800.0	201.44799999999998
132	923.0	15.0	0.75	0.8220000000000001	10.0	5.0	800.0	635.224
133	2571.0	100.0	0.75	0.802	20.0	100.0	200.0	102.348
134	1577.0	30.0	0.9	0.813	20.0	20.0	800.0	531.573
135	1887.0	50.0	0.25	0.6679999999999999	100.0	100.0	200.0	33.295
136	2072.0	50.0	0.9	0.835	1.0	2.0	800.0	999.836
137	2149.0	50.0	0.9	0.767	100.0	10.0	400.0	395.722
138	2524.0	100.0	0.75	0.835	1.0	5.0	400.0	393.273
139	571.0	15.0	0.01	0.29	10.0	40.0	400.0	11.228
140	2676.0	100.0	0.9	0.797	40.0	40.0	200.0	120.604
141	149.0	5.0	0.1	0.524	40.0	5.0	800.0	156.39
142	559.0	15.0	0.01	0.293	10.0	2.0	400.0	9.155
143	1845.0	50.0	0.25	0.77	20.0	20.0	200.0	54.778
144	2434.0	100.0	0.5	0.833	1.0	5.0	400.0	329.397
145	2944.0	150.0	0.25	0.736	40.0	20.0	400.0	83.14399999999999
146	1417.0	30.0	0.5	0.7809999999999999	40.0	40.0	400.0	158.564
147	939.0	15.0	0.75	0.81	20.0	5.0	200.0	109.666
148	2663.0	100.0	0.9	0.805	20.0	100.0	800.0	1228.433
149	2848.0	150.0	0.1	0.609	40.0	5.0	400.0	44.63399999999999
150	1189.0	30.0	0.1	0.71	10.0	2.0	400.0	55.633
151	3000.0	150.0	0.5	0.8140000000000001	10.0	40.0	200.0	94.383
152	3181.0	150.0	0.9	0.821	10.0	40.0	400.0	287.699
153	358.0	5.0	0.5	0.7390000000000001	100.0	100.0	400.0	274.435
154	1251.0	30.0	0.1	0.526	100.0	20.0	200.0	16.675
155	695.0	15.0	0.1	0.609	40.0	20.0	800.0	126.103
156	2109.0	50.0	0.9	0.813	20.0	5.0	200.0	135.589
157	1124.0	30.0	0.01	0.27399999999999997	20.0	10.0	800.0	25.686
158	2188.0	100.0	0.01	0.335	10.0	20.0	400.0	15.765999999999998
159	1061.0	15.0	0.9	0.7959999999999999	40.0	100.0	800.0	428.463
160	686.0	15.0	0.1	0.611	40.0	2.0	800.0	70.872
161	2960.0	150.0	0.25	0.6729999999999999	100.0	10.0	800.0	340.18300000000005
162	1169.0	30.0	0.01	0.113	100.0	100.0	800.0	10.322000000000001
163	2715.0	150.0	0.01	0.41100000000000003	1.0	100.0	200.0	17.733
164	937.0	15.0	0.75	0.8109999999999999	20.0	2.0	400.0	274.336
165	2104.0	50.0	0.9	0.8109999999999999	10.0	100.0	400.0	254.856
166	1955.0	50.0	0.5	0.782	40.0	20.0	800.0	265.295
167	2693.0	100.0	0.9	0.767	100.0	20.0	800.0	384.588
168	1015.0	15.0	0.9	0.8220000000000001	10.0	10.0	400.0	298.06
169	2309.0	100.0	0.1	0.612	40.0	5.0	800.0	84.882
170	2005.0	50.0	0.75	0.823	10.0	10.0	400.0	400.431
171	1064.0	15.0	0.9	0.767	100.0	2.0	800.0	606.9159999999999
172	1779.0	50.0	0.1	0.612	40.0	100.0	200.0	20.764
173	1895.0	50.0	0.5	0.833	1.0	5.0	800.0	566.975
174	88.0	5.0	0.01	0.094	100.0	100.0	400.0	7.4910000000000005
175	775.0	15.0	0.25	0.735	40.0	2.0	400.0	64.721
176	2778.0	150.0	0.01	0.114	100.0	10.0	200.0	3.485
177	2695.0	100.0	0.9	0.767	100.0	40.0	400.0	196.66
178	3173.0	150.0	0.9	0.8240000000000001	10.0	5.0	800.0	696.171
179	2307.0	100.0	0.1	0.61	40.0	5.0	200.0	22.81
180	1595.0	30.0	0.9	0.7979999999999999	40.0	20.0	800.0	440.392
181	1301.0	30.0	0.25	0.7709999999999999	20.0	5.0	800.0	227.412
182	1277.0	30.0	0.25	0.778	1.0	100.0	800.0	346.311
183	722.0	15.0	0.25	0.818	1.0	2.0	800.0	377.3
184	1953.0	50.0	0.5	0.782	40.0	20.0	200.0	76.646
185	1755.0	50.0	0.1	0.67	20.0	20.0	200.0	25.875
186	1205.0	30.0	0.1	0.6709999999999999	10.0	100.0	800.0	118.648
187	2647.0	100.0	0.9	0.813	20.0	2.0	400.0	257.02099999999996
188	1820.0	50.0	0.25	0.795	10.0	2.0	800.0	227.998
189	2761.0	150.0	0.01	0.201	40.0	10.0	400.0	18.551
190	2375.0	100.0	0.25	0.767	10.0	100.0	800.0	166.544
191	2680.0	100.0	0.9	0.795	40.0	100.0	400.0	478.64099999999996
192	1967.0	50.0	0.5	0.743	100.0	5.0	800.0	255.37599999999998
193	1742.0	50.0	0.1	0.7020000000000001	10.0	40.0	800.0	117.31299999999999
194	3067.0	150.0	0.75	0.835	1.0	10.0	400.0	357.80699999999996
195	1362.0	30.0	0.5	0.8240000000000001	1.0	40.0	200.0	97.26799999999999
196	2251.0	100.0	0.1	0.777	1.0	2.0	400.0	216.93400000000003
197	1628.0	50.0	0.01	0.495	1.0	10.0	800.0	59.256
198	1391.0	30.0	0.5	0.8029999999999999	20.0	5.0	800.0	295.408
199	2490.0	100.0	0.5	0.7809999999999999	40.0	10.0	200.0	127.10600000000001
200	1134.0	30.0	0.01	0.203	40.0	2.0	200.0	9.991
201	2699.0	100.0	0.9	0.767	100.0	100.0	800.0	371.726
202	2976.0	150.0	0.5	0.8320000000000001	1.0	10.0	200.0	116.985
203	1664.0	50.0	0.01	0.27399999999999997	20.0	10.0	800.0	47.086000000000006
204	1957.0	50.0	0.5	0.782	40.0	40.0	400.0	151.144
205	1918.0	50.0	0.5	0.818	10.0	20.0	400.0	565.596
206	1078.0	15.0	0.9	0.767	100.0	100.0	400.0	187.118
207	1520.0	30.0	0.75	0.763	100.0	10.0	800.0	303.268
208	1107.0	30.0	0.01	0.331	10.0	20.0	200.0	10.967
209	2386.0	100.0	0.25	0.77	20.0	20.0	400.0	89.041
210	363.0	5.0	0.75	0.7859999999999999	1.0	5.0	200.0	178.739
211	257.0	5.0	0.25	0.66	100.0	5.0	800.0	170.81
212	760.0	15.0	0.25	0.77	20.0	5.0	400.0	221.923
213	890.0	15.0	0.5	0.7440000000000001	100.0	10.0	800.0	318.897
214	1210.0	30.0	0.1	0.667	20.0	5.0	400.0	96.83
215	1563.0	30.0	0.9	0.8109999999999999	10.0	100.0	200.0	138.15
216	2044.0	50.0	0.75	0.794	40.0	20.0	400.0	275.23
217	2440.0	100.0	0.5	0.83	1.0	20.0	400.0	291.752
218	2781.0	150.0	0.01	0.10300000000000001	100.0	20.0	200.0	7.439
219	2389.0	100.0	0.25	0.77	20.0	40.0	400.0	182.15099999999998
220	2337.0	100.0	0.1	0.515	100.0	100.0	200.0	15.689
