index	max_depth	max_features	min_samples_leaf	min_samples_split	n_estimators
0		0.01	1	2	100
1		0.01	1	2	500
2		0.01	1	2	1000
3		0.01	1	5	100
4		0.01	1	5	500
5		0.01	1	5	1000
6		0.01	1	10	100
7		0.01	1	10	500
8		0.01	1	10	1000
9		0.01	1	20	100
10		0.01	1	20	500
11		0.01	1	20	1000
12		0.01	1	30	100
13		0.01	1	30	500
14		0.01	1	30	1000
15		0.01	1	40	100
16		0.01	1	40	500
17		0.01	1	40	1000
18		0.01	5	2	100
19		0.01	5	2	500
20		0.01	5	2	1000
21		0.01	5	5	100
22		0.01	5	5	500
23		0.01	5	5	1000
24		0.01	5	10	100
25		0.01	5	10	500
26		0.01	5	10	1000
27		0.01	5	20	100
28		0.01	5	20	500
29		0.01	5	20	1000
30		0.01	5	30	100
31		0.01	5	30	500
32		0.01	5	30	1000
33		0.01	5	40	100
34		0.01	5	40	500
35		0.01	5	40	1000
36		0.01	10	2	100
37		0.01	10	2	500
38		0.01	10	2	1000
39		0.01	10	5	100
40		0.01	10	5	500
41		0.01	10	5	1000
42		0.01	10	10	100
43		0.01	10	10	500
44		0.01	10	10	1000
45		0.01	10	20	100
46		0.01	10	20	500
47		0.01	10	20	1000
48		0.01	10	30	100
49		0.01	10	30	500
50		0.01	10	30	1000
51		0.01	10	40	100
52		0.01	10	40	500
53		0.01	10	40	1000
54		0.01	20	2	100
55		0.01	20	2	500
56		0.01	20	2	1000
57		0.01	20	5	100
58		0.01	20	5	500
59		0.01	20	5	1000
60		0.01	20	10	100
61		0.01	20	10	500
62		0.01	20	10	1000
63		0.01	20	20	100
64		0.01	20	20	500
65		0.01	20	20	1000
66		0.01	20	30	100
67		0.01	20	30	500
68		0.01	20	30	1000
69		0.01	20	40	100
70		0.01	20	40	500
71		0.01	20	40	1000
72		0.01	40	2	100
73		0.01	40	2	500
74		0.01	40	2	1000
75		0.01	40	5	100
76		0.01	40	5	500
77		0.01	40	5	1000
78		0.01	40	10	100
79		0.01	40	10	500
80		0.01	40	10	1000
81		0.01	40	20	100
82		0.01	40	20	500
83		0.01	40	20	1000
84		0.01	40	30	100
85		0.01	40	30	500
86		0.01	40	30	1000
