index	max_depth	max_features	min_samples_leaf	min_samples_split	n_estimators
0	20.0	0.01	1	2	100
1	20.0	0.01	1	2	200
2	20.0	0.01	1	2	500
3	20.0	0.01	1	10	100
4	20.0	0.01	1	10	200
5	20.0	0.01	1	10	500
6	20.0	0.01	1	50	100
7	20.0	0.01	1	50	200
8	20.0	0.01	1	50	500
9	20.0	0.01	1	100	100
10	20.0	0.01	1	100	200
11	20.0	0.01	1	100	500
12	20.0	0.01	5	2	100
13	20.0	0.01	5	2	200
14	20.0	0.01	5	2	500
15	20.0	0.01	5	10	100
16	20.0	0.01	5	10	200
17	20.0	0.01	5	10	500
18	20.0	0.01	5	50	100
19	20.0	0.01	5	50	200
20	20.0	0.01	5	50	500
21	20.0	0.01	5	100	100
22	20.0	0.01	5	100	200
23	20.0	0.01	5	100	500
24	20.0	0.01	10	2	100
25	20.0	0.01	10	2	200
26	20.0	0.01	10	2	500
27	20.0	0.01	10	10	100
28	20.0	0.01	10	10	200
29	20.0	0.01	10	10	500
30	20.0	0.01	10	50	100
31	20.0	0.01	10	50	200
32	20.0	0.01	10	50	500
33	20.0	0.01	10	100	100
34	20.0	0.01	10	100	200
35	20.0	0.01	10	100	500
36	20.0	0.01	50	2	100
37	20.0	0.01	50	2	200
38	20.0	0.01	50	2	500
39	20.0	0.01	50	10	100
40	20.0	0.01	50	10	200
41	20.0	0.01	50	10	500
42	20.0	0.01	50	50	100
43	20.0	0.01	50	50	200
44	20.0	0.01	50	50	500
45	20.0	0.01	50	100	100
46	20.0	0.01	50	100	200
47	20.0	0.01	50	100	500
48	20.0	0.01	500	2	100
49	20.0	0.01	500	2	200
50	20.0	0.01	500	2	500
51	20.0	0.01	500	10	100
52	20.0	0.01	500	10	200
53	20.0	0.01	500	10	500
54	20.0	0.01	500	50	100
55	20.0	0.01	500	50	200
56	20.0	0.01	500	50	500
57	20.0	0.01	500	100	100
58	20.0	0.01	500	100	200
59	20.0	0.01	500	100	500
60	20.0	0.03	1	2	100
61	20.0	0.03	1	2	200
62	20.0	0.03	1	2	500
63	20.0	0.03	1	10	100
64	20.0	0.03	1	10	200
65	20.0	0.03	1	10	500
66	20.0	0.03	1	50	100
67	20.0	0.03	1	50	200
68	20.0	0.03	1	50	500
69	20.0	0.03	1	100	100
70	20.0	0.03	1	100	200
71	20.0	0.03	1	100	500
72	20.0	0.03	5	2	100
73	20.0	0.03	5	2	200
74	20.0	0.03	5	2	500
75	20.0	0.03	5	10	100
76	20.0	0.03	5	10	200
77	20.0	0.03	5	10	500
78	20.0	0.03	5	50	100
79	20.0	0.03	5	50	200
80	20.0	0.03	5	50	500
81	20.0	0.03	5	100	100
82	20.0	0.03	5	100	200
83	20.0	0.03	5	100	500
84	20.0	0.03	10	2	100
85	20.0	0.03	10	2	200
86	20.0	0.03	10	2	500
87	20.0	0.03	10	10	100
88	20.0	0.03	10	10	200
89	20.0	0.03	10	10	500
90	20.0	0.03	10	50	100
91	20.0	0.03	10	50	200
92	20.0	0.03	10	50	500
93	20.0	0.03	10	100	100
94	20.0	0.03	10	100	200
95	20.0	0.03	10	100	500
96	20.0	0.03	50	2	100
97	20.0	0.03	50	2	200
98	20.0	0.03	50	2	500
99	20.0	0.03	50	10	100
100	20.0	0.03	50	10	200
101	20.0	0.03	50	10	500
102	20.0	0.03	50	50	100
103	20.0	0.03	50	50	200
104	20.0	0.03	50	50	500
105	20.0	0.03	50	100	100
106	20.0	0.03	50	100	200
107	20.0	0.03	50	100	500
108	20.0	0.03	500	2	100
109	20.0	0.03	500	2	200
110	20.0	0.03	500	2	500
111	20.0	0.03	500	10	100
112	20.0	0.03	500	10	200
113	20.0	0.03	500	10	500
114	20.0	0.03	500	50	100
115	20.0	0.03	500	50	200
116	20.0	0.03	500	50	500
117	20.0	0.03	500	100	100
118	20.0	0.03	500	100	200
119	20.0	0.03	500	100	500
120	20.0	0.1	1	2	100
121	20.0	0.1	1	2	200
122	20.0	0.1	1	2	500
123	20.0	0.1	1	10	100
124	20.0	0.1	1	10	200
125	20.0	0.1	1	10	500
126	20.0	0.1	1	50	100
127	20.0	0.1	1	50	200
128	20.0	0.1	1	50	500
129	20.0	0.1	1	100	100
130	20.0	0.1	1	100	200
131	20.0	0.1	1	100	500
132	20.0	0.1	5	2	100
133	20.0	0.1	5	2	200
134	20.0	0.1	5	2	500
135	20.0	0.1	5	10	100
136	20.0	0.1	5	10	200
137	20.0	0.1	5	10	500
138	20.0	0.1	5	50	100
139	20.0	0.1	5	50	200
140	20.0	0.1	5	50	500
141	20.0	0.1	5	100	100
142	20.0	0.1	5	100	200
143	20.0	0.1	5	100	500
144	20.0	0.1	10	2	100
145	20.0	0.1	10	2	200
146	20.0	0.1	10	2	500
147	20.0	0.1	10	10	100
148	20.0	0.1	10	10	200
149	20.0	0.1	10	10	500
150	20.0	0.1	10	50	100
151	20.0	0.1	10	50	200
152	20.0	0.1	10	50	500
153	20.0	0.1	10	100	100
154	20.0	0.1	10	100	200
155	20.0	0.1	10	100	500
156	20.0	0.1	50	2	100
157	20.0	0.1	50	2	200
158	20.0	0.1	50	2	500
