index	max_depth	max_features	min_samples_split	n_estimators
0	30	0.2	5	50
1	30	0.2	5	100
2	30	0.2	5	200
3	30	0.2	5	300
4	30	0.2	10	50
5	30	0.2	10	100
6	30	0.2	10	200
7	30	0.2	10	300
8	30	0.2	20	50
9	30	0.2	20	100
10	30	0.2	20	200
11	30	0.2	20	300
12	30	0.2	40	50
13	30	0.2	40	100
14	30	0.2	40	200
15	30	0.2	40	300
16	30	0.2	60	50
17	30	0.2	60	100
18	30	0.2	60	200
19	30	0.2	60	300
20	30	0.4	5	50
21	30	0.4	5	100
22	30	0.4	5	200
23	30	0.4	5	300
24	30	0.4	10	50
25	30	0.4	10	100
26	30	0.4	10	200
27	30	0.4	10	300
28	30	0.4	20	50
29	30	0.4	20	100
30	30	0.4	20	200
31	30	0.4	20	300
32	30	0.4	40	50
33	30	0.4	40	100
34	30	0.4	40	200
35	30	0.4	40	300
36	30	0.4	60	50
37	30	0.4	60	100
38	30	0.4	60	200
39	30	0.4	60	300
40	30	0.5	5	50
41	30	0.5	5	100
42	30	0.5	5	200
43	30	0.5	5	300
44	30	0.5	10	50
45	30	0.5	10	100
46	30	0.5	10	200
47	30	0.5	10	300
48	30	0.5	20	50
49	30	0.5	20	100
50	30	0.5	20	200
51	30	0.5	20	300
52	30	0.5	40	50
53	30	0.5	40	100
54	30	0.5	40	200
55	30	0.5	40	300
56	30	0.5	60	50
57	30	0.5	60	100
58	30	0.5	60	200
59	30	0.5	60	300
60	30	0.75	5	50
61	30	0.75	5	100
62	30	0.75	5	200
63	30	0.75	5	300
64	30	0.75	10	50
65	30	0.75	10	100
66	30	0.75	10	200
67	30	0.75	10	300
68	30	0.75	20	50
69	30	0.75	20	100
70	30	0.75	20	200
71	30	0.75	20	300
72	30	0.75	40	50
73	30	0.75	40	100
74	30	0.75	40	200
75	30	0.75	40	300
76	30	0.75	60	50
77	30	0.75	60	100
78	30	0.75	60	200
79	30	0.75	60	300
80	30	0.99	5	50
81	30	0.99	5	100
82	30	0.99	5	200
83	30	0.99	5	300
84	30	0.99	10	50
85	30	0.99	10	100
