index	max_depth	max_features	min_samples_leaf	min_samples_split	n_estimators
0	5	0.01	1	2	200
1	5	0.01	1	2	400
2	5	0.01	1	2	800
3	5	0.01	1	5	200
4	5	0.01	1	5	400
5	5	0.01	1	5	800
6	5	0.01	1	10	200
7	5	0.01	1	10	400
8	5	0.01	1	10	800
9	5	0.01	1	20	200
10	5	0.01	1	20	400
11	5	0.01	1	20	800
12	5	0.01	1	40	200
13	5	0.01	1	40	400
14	5	0.01	1	40	800
15	5	0.01	1	100	200
16	5	0.01	1	100	400
17	5	0.01	1	100	800
18	5	0.01	10	2	200
19	5	0.01	10	2	400
20	5	0.01	10	2	800
21	5	0.01	10	5	200
22	5	0.01	10	5	400
23	5	0.01	10	5	800
24	5	0.01	10	10	200
25	5	0.01	10	10	400
26	5	0.01	10	10	800
27	5	0.01	10	20	200
28	5	0.01	10	20	400
29	5	0.01	10	20	800
30	5	0.01	10	40	200
31	5	0.01	10	40	400
32	5	0.01	10	40	800
33	5	0.01	10	100	200
34	5	0.01	10	100	400
35	5	0.01	10	100	800
36	5	0.01	20	2	200
37	5	0.01	20	2	400
38	5	0.01	20	2	800
39	5	0.01	20	5	200
40	5	0.01	20	5	400
41	5	0.01	20	5	800
42	5	0.01	20	10	200
43	5	0.01	20	10	400
44	5	0.01	20	10	800
45	5	0.01	20	20	200
46	5	0.01	20	20	400
47	5	0.01	20	20	800
48	5	0.01	20	40	200
49	5	0.01	20	40	400
50	5	0.01	20	40	800
51	5	0.01	20	100	200
52	5	0.01	20	100	400
53	5	0.01	20	100	800
54	5	0.01	40	2	200
55	5	0.01	40	2	400
56	5	0.01	40	2	800
57	5	0.01	40	5	200
58	5	0.01	40	5	400
59	5	0.01	40	5	800
60	5	0.01	40	10	200
61	5	0.01	40	10	400
62	5	0.01	40	10	800
63	5	0.01	40	20	200
64	5	0.01	40	20	400
65	5	0.01	40	20	800
66	5	0.01	40	40	200
67	5	0.01	40	40	400
68	5	0.01	40	40	800
69	5	0.01	40	100	200
70	5	0.01	40	100	400
71	5	0.01	40	100	800
72	5	0.01	100	2	200
73	5	0.01	100	2	400
74	5	0.01	100	2	800
75	5	0.01	100	5	200
76	5	0.01	100	5	400
77	5	0.01	100	5	800
78	5	0.01	100	10	200
79	5	0.01	100	10	400
80	5	0.01	100	10	800
81	5	0.01	100	20	200
82	5	0.01	100	20	400
83	5	0.01	100	20	800
84	5	0.01	100	40	200
85	5	0.01	100	40	400
86	5	0.01	100	40	800
87	5	0.01	100	100	200
88	5	0.01	100	100	400
89	5	0.01	100	100	800
90	5	0.1	1	2	200
91	5	0.1	1	2	400
92	5	0.1	1	2	800
93	5	0.1	1	5	200
94	5	0.1	1	5	400
95	5	0.1	1	5	800
96	5	0.1	1	10	200
97	5	0.1	1	10	400
98	5	0.1	1	10	800
99	5	0.1	1	20	200
100	5	0.1	1	20	400
101	5	0.1	1	20	800
102	5	0.1	1	40	200
103	5	0.1	1	40	400
104	5	0.1	1	40	800
105	5	0.1	1	100	200
106	5	0.1	1	100	400
107	5	0.1	1	100	800
108	5	0.1	10	2	200
109	5	0.1	10	2	400
110	5	0.1	10	2	800
111	5	0.1	10	5	200
112	5	0.1	10	5	400
113	5	0.1	10	5	800
114	5	0.1	10	10	200
115	5	0.1	10	10	400
116	5	0.1	10	10	800
117	5	0.1	10	20	200
118	5	0.1	10	20	400
119	5	0.1	10	20	800
120	5	0.1	10	40	200
121	5	0.1	10	40	400
122	5	0.1	10	40	800
123	5	0.1	10	100	200
124	5	0.1	10	100	400
125	5	0.1	10	100	800
126	5	0.1	20	2	200
127	5	0.1	20	2	400
128	5	0.1	20	2	800
129	5	0.1	20	5	200
130	5	0.1	20	5	400
131	5	0.1	20	5	800
132	5	0.1	20	10	200
133	5	0.1	20	10	400
134	5	0.1	20	10	800
135	5	0.1	20	20	200
136	5	0.1	20	20	400
137	5	0.1	20	20	800
138	5	0.1	20	40	200
139	5	0.1	20	40	400
140	5	0.1	20	40	800
141	5	0.1	20	100	200
142	5	0.1	20	100	400
143	5	0.1	20	100	800
144	5	0.1	40	2	200
145	5	0.1	40	2	400
146	5	0.1	40	2	800
147	5	0.1	40	5	200
148	5	0.1	40	5	400
149	5	0.1	40	5	800
150	5	0.1	40	10	200
151	5	0.1	40	10	400
152	5	0.1	40	10	800
153	5	0.1	40	20	200
154	5	0.1	40	20	400
155	5	0.1	40	20	800
156	5	0.1	40	40	200
157	5	0.1	40	40	400
158	5	0.1	40	40	800
159	5	0.1	40	100	200
160	5	0.1	40	100	400
161	5	0.1	40	100	800
162	5	0.1	100	2	200
163	5	0.1	100	2	400
164	5	0.1	100	2	800
165	5	0.1	100	5	200
166	5	0.1	100	5	400
167	5	0.1	100	5	800
168	5	0.1	100	10	200
169	5	0.1	100	10	400
170	5	0.1	100	10	800
171	5	0.1	100	20	200
172	5	0.1	100	20	400
173	5	0.1	100	20	800
174	5	0.1	100	40	200
175	5	0.1	100	40	400
176	5	0.1	100	40	800
177	5	0.1	100	100	200
178	5	0.1	100	100	400
179	5	0.1	100	100	800
180	5	0.25	1	2	200
181	5	0.25	1	2	400
182	5	0.25	1	2	800
183	5	0.25	1	5	200
184	5	0.25	1	5	400
185	5	0.25	1	5	800
186	5	0.25	1	10	200
187	5	0.25	1	10	400
188	5	0.25	1	10	800
189	5	0.25	1	20	200
190	5	0.25	1	20	400
191	5	0.25	1	20	800
192	5	0.25	1	40	200
193	5	0.25	1	40	400
194	5	0.25	1	40	800
195	5	0.25	1	100	200
196	5	0.25	1	100	400
197	5	0.25	1	100	800
198	5	0.25	10	2	200
199	5	0.25	10	2	400
200	5	0.25	10	2	800
201	5	0.25	10	5	200
202	5	0.25	10	5	400
203	5	0.25	10	5	800
204	5	0.25	10	10	200
205	5	0.25	10	10	400
206	5	0.25	10	10	800
207	5	0.25	10	20	200
208	5	0.25	10	20	400
209	5	0.25	10	20	800
210	5	0.25	10	40	200
211	5	0.25	10	40	400
212	5	0.25	10	40	800
213	5	0.25	10	100	200
214	5	0.25	10	100	400
215	5	0.25	10	100	800
216	5	0.25	20	2	200
217	5	0.25	20	2	400
218	5	0.25	20	2	800
219	5	0.25	20	5	200
220	5	0.25	20	5	400
221	5	0.25	20	5	800
222	5	0.25	20	10	200
